
tag_id,tag_name,description,unit,server,status,last_value,last_timestamp
PI001,SITE1.ELEC.MAIN.KWH,Main electricity meter - Paris Nord,kWh,PI-SERVER1,active,1245.678,2023-11-07T00:00:00Z
PI002,SITE1.ELEC.BLDG1.KWH,Building 1 submeter - Paris Nord,kWh,PI-SERVER1,active,456.789,2023-11-07T00:00:00Z
PI003,SITE1.ELEC.BLDG2.KWH,Building 2 submeter - Paris Nord,kWh,PI-SERVER1,active,389.123,2023-11-07T00:00:00Z
PI004,SITE1.GAS.MAIN.M3,Main gas meter - Paris Nord,m3,PI-SERVER1,active,278.456,2023-11-07T00:00:00Z
PI005,SITE1.WATER.MAIN.M3,Main water meter - Paris Nord,m3,PI-SERVER1,active,123.789,2023-11-07T00:00:00Z
PI006,SITE2.ELEC.MAIN.KWH,Main electricity meter - Lyon East,kWh,PI-SERVER1,active,987.654,2023-11-07T00:00:00Z
PI007,SITE2.ELEC.BLDG1.KWH,Building 1 submeter - Lyon East,kWh,PI-SERVER1,active,345.678,2023-11-07T00:00:00Z
PI008,SITE2.ELEC.BLDG2.KWH,Building 2 submeter - Lyon East,kWh,PI-SERVER1,active,321.456,2023-11-07T00:00:00Z
PI009,SITE2.GAS.MAIN.M3,Main gas meter - Lyon East,m3,PI-SERVER1,active,198.765,2023-11-07T00:00:00Z
PI010,SITE2.WATER.MAIN.M3,Main water meter - Lyon East,m3,PI-SERVER1,active,87.654,2023-11-07T00:00:00Z
PI011,SITE3.ELEC.MAIN.KWH,Main electricity meter - Marseille Port,kWh,PI-SERVER2,active,1456.789,2023-11-07T00:00:00Z
PI012,SITE3.ELEC.BLDG1.KWH,Building 1 submeter - Marseille Port,kWh,PI-SERVER2,active,567.123,2023-11-07T00:00:00Z
PI013,SITE3.ELEC.BLDG2.KWH,Building 2 submeter - Marseille Port,kWh,PI-SERVER2,active,498.765,2023-11-07T00:00:00Z
PI014,SITE3.GAS.MAIN.M3,Main gas meter - Marseille Port,m3,PI-SERVER2,active,345.678,2023-11-07T00:00:00Z
PI015,SITE3.WATER.MAIN.M3,Main water meter - Marseille Port,m3,PI-SERVER2,active,156.789,2023-11-07T00:00:00Z
PI016,SITE1.ELEC.MAIN.KW,Main electricity power - Paris Nord,kW,PI-SERVER1,active,87.654,2023-11-07T00:00:00Z
